pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,X,Y,Energy,Metallicity
5,16.1457,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,64.47350269069875,0.68592,-0.8982,0,0.028,0.006,-0.006,0,0.198,0.006,-0.006,0,4.68,1.12,-1.12,0,0,1,0,1,281.482749,47.208031,360.84643445149055,29.62,-29.406,0,11.492,0.109357143,0,0,4909,41,-41,0,0,0.81,0.04,-0.09,0,0,0.76,0.07,-0.07,0,0,2807,3886,0.8504851004851005,0.8509090909090908
2,15.9654,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,69.11445999375869,0.68592,-0.8982,0,0.031,0.027,-0.027,0,0.301,0.008,-0.008,0,1.38,1.4,-1.4,0,1,1,0,1,288.984555,40.064521,1434.200636032908,29.62,-29.406,0,12.287,0.109357143,0,0,5845,88,-88,0,0,1.09,0.07,-0.07,0,0,1.44,0.04,-0.04,0,0,2822,3928,1.0126472626472627,0.2509090909090909
4,13.5708,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,45.7815244824857,0.68592,-0.8982,0,0.033,0.01,-0.01,0,0.223,0.029,-0.029,0,3.28,1.56,-1.56,0,0,1,0,1,300.863971,44.337555,1414.094636368659,29.62,-29.406,0,12.882,0.109357143,0,0,5858,114,-114,0,0,1,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0,2842,3915,1.0148995148995148,0.5963636363636363
6,10.3039,0.0006,-0.001,0,0.091,0.001,-0.001,0,0.045,0.068,-0.042,0,89.64,0.36,-0.18,0,0.006,0.004,-0.003,0,0.161,0.003,-0.004,0,1.72,1.25,-0.91,0,1,1,0,1,297.115123,41.909138,613,29.62,-29.406,0,14.2,0.109357143,0,0,5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2801,3898,0.9811157311157311,0.31272727272727274
6,22.6845,0.0009,-0.0009,0,0.155,0.001,-0.001,0,0.004,0.007,-0.002,0,89.67,0.13,-0.16,0,0.023,0.003,-0.005,0,0.278,0.005,-0.006,0,1.28,0.14,-0.27,0,1,1,0,1,297.115123,41.909138,613,29.62,-29.406,0,14.2,0.109357143,0,0,5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2801,3898,0.9811157311157311,0.23272727272727273
6,31.9996,0.0008,-0.0012,0,0.195,0.002,-0.002,0,0.012,0.006,-0.006,0,88.89,0.02,-0.02,0,0.025,0.005,-0.007,0,0.374,0.006,-0.008,0,0.58,0.11,-0.16,0,1,1,0,1,297.115123,41.909138,613,29.62,-29.406,0,14.2,0.109357143,0,0,5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2801,3898,0.9811157311157311,0.10545454545454545
6,46.6888,0.0027,-0.0032,0,0.25,0.002,-0.002,0,0.013,0.011,-0.009,0,89.47,0.04,-0.04,0,0.006,0.003,-0.003,0,0.222,0.004,-0.006,0,0.69,0.29,-0.32,0,1,1,0,1,297.115123,41.909138,613,29.62,-29.406,0,14.2,0.109357143,0,0,5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2801,3898,0.9811157311157311,0.12545454545454546
6,118.3807,0.001,-0.0006,0,0.466,0.004,-0.004,0,0.15,0.03596,-0.03211,1,89.87,0.05,-0.06,0,0.079,0.0275,-0.0247,1,0.297,0.005,-0.007,0,4,2.5,-2.319,1,1,1,0,1,297.115123,41.909138,613,29.62,-29.406,0,14.2,0.109357143,0,0,5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2801,3898,0.9811157311157311,0.7272727272727273
2,4.754,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,44.836040898697796,0.68592,-0.8982,0,0.037,0.013,-0.013,0,0.162,0.004,-0.004,0,10.73,3.9,-3.9,0,0,1,0,1,287.997883,50.944332,1901.3988453259265,29.62,-29.406,0,13.461,0.109357143,0,0,4725,74,-74,0,0,0.75,0.06,-0.06,0,0,0.69,0.02,-0.02,0,0,2857,3928,0.8186070686070686,1.950909090909091
2,16.092,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,75.55053841444075,0.68592,-0.8982,0,0.051,0.011,-0.011,0,0.215,0.018,-0.018,0,6,1.98,-1.98,0,0,1,0,1,288.530825,40.942304,119.57619433002867,29.62,-29.406,0,11.525,0.109357143,0,0,5685,74,-74,0,0,1.02,0.06,-0.06,0,0,1.03,0.1,-0.1,0,0,2802,3877,0.9849272349272349,1.0909090909090908
