pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
KOI-142,b,Transit,2,10.95416,0.00011,-0.00013,0,,,,,0.05593,0.00047,-0.00031,0,89.055,0.074,-0.07,0,0.027,0.008,-0.008,0,Mass,0.337,0.035,-0.032,0,0.87,0.42,-0.31,0,1,1,0,0,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339,25,-23,0,13.11,0.16,0,0,V (Johnson),5471,50,-50,0,0,0.96,0.04,-0.05,0,0,0.88,0.03,-0.04,0,0,2014-05-14
KOI-94,b,Transit,4,3.743208,0.000015,-0.000015,0,0.05119,0.00067,-0.00067,0,0.25,0.17,-0.17,0,89.3,0.57,-0.57,0,0.033,0.014,-0.014,0,Mass,0.153,0.014,-0.014,0,10.1,5.5,-5.5,0,0,1,0,1,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,,,,12.205,,0,0,Kepler-band,6182,58,-58,0,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,2014-05-14
Kepler-10,c,Transit,2,45.294301,0.000048,-0.000048,0,,,,,0,,,0,89.59,0.25,-0.43,0,0.054,0.006,-0.006,0,Mass,0.21,0.008,-0.004,0,7.1,1,-1,0,1,1,0,2,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173,27,-27,0,10.94,0.345,0,0,V (Johnson),5627,44,-44,0,0,0.91,0.02,-0.02,0,0,1.06,0.01,-0.01,0,0,2014-06-02
Kepler-100,b,Transit,3,6.88705,,,0,,,,,,,,,,,,,0.023,0.01,-0.01,0,Mass,0.118,0.004,-0.004,0,14.25,6.33,-6.33,0,0,1,0,1,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,,,,11.197,,0,0,Kepler-band,5825,75,-75,0,0,1.08,0.06,-0.06,0,0,1.49,0.04,-0.04,0,0,2014-05-14
Kepler-102,e,Transit,5,16.1457,,,0,,,,,,,,,,,,,0.028,0.006,-0.006,0,Mass,0.198,0.006,-0.006,0,4.68,1.12,-1.12,0,0,1,0,1,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,,,,11.492,,0,0,Kepler-band,4909,41,-41,0,0,0.81,0.04,-0.09,0,0,0.76,0.07,-0.07,0,0,2014-05-14
Kepler-103,b,Transit,2,15.9654,,,0,,,,,,,,,,,,,0.031,0.027,-0.027,0,Mass,0.301,0.008,-0.008,0,1.38,1.4,-1.4,0,1,1,0,1,19h15m56.29s,288.984555,+40d03m52.3s,40.064521,,,,,12.287,,0,0,Kepler-band,5845,88,-88,0,0,1.09,0.07,-0.07,0,0,1.44,0.04,-0.04,0,0,2014-05-14
Kepler-106,c,Transit,4,13.5708,,,0,,,,,,,,,,,,,0.033,0.01,-0.01,0,Mass,0.223,0.029,-0.029,0,3.28,1.56,-1.56,0,0,1,0,1,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,,,,12.882,,0,0,Kepler-band,5858,114,-114,0,0,1,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0,2014-05-14
Kepler-11,b,Transit,6,10.3039,0.0006,-0.001,0,0.091,0.001,-0.001,0,0.045,0.068,-0.042,0,89.64,0.36,-0.18,0,0.006,0.004,-0.003,0,Mass,0.161,0.003,-0.004,0,1.72,1.25,-0.91,0,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613,,,0,14.2,,0,0,V (Johnson),5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2014-05-14
Kepler-11,d,Transit,6,22.6845,0.0009,-0.0009,0,0.155,0.001,-0.001,0,0.004,0.007,-0.002,0,89.67,0.13,-0.16,0,0.023,0.003,-0.005,0,Mass,0.278,0.005,-0.006,0,1.28,0.14,-0.27,0,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613,,,0,14.2,,0,0,V (Johnson),5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2014-05-14
Kepler-11,e,Transit,6,31.9996,0.0008,-0.0012,0,0.195,0.002,-0.002,0,0.012,0.006,-0.006,0,88.89,0.02,-0.02,0,0.025,0.005,-0.007,0,Mass,0.374,0.006,-0.008,0,0.58,0.11,-0.16,0,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613,,,0,14.2,,0,0,V (Johnson),5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2014-05-14
