pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
Kepler-68,b,Transit,3,5.39875,,,0,,,,,,,,,,,,,0.01878,0.00535,-0.00535,0,Mass,0.208,0.002,-0.002,0,2.6,0.74,-0.74,0,0,1,0,1,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,135,10,-10,0,9.99,0.18,0,0,V (Johnson),5793,74,-74,0,0,1.08,0.05,-0.05,0,0,1.24,0.02,-0.02,0,0,2016-10-27
Kepler-78,b,Transit,1,0.355,0.0004,-0.0004,0,,,,,0,,,0,79,9,-14,0,0.006,0.001,-0.001,0,Mass,0.105,0.014,-0.008,0,5.57,3.02,-1.31,0,0,1,0,2,19h34m58.01s,293.74169,+44d26m54.0s,44.44833,,,,,11.551,,0,0,Kepler-band,5058,50,-50,0,0,0.76,0.05,-0.05,0,0,0.74,0.03,-0.04,0,0,2014-05-14
Kepler-79,c,Transit,4,27.4029,0.0008,-0.0006,0,0.187,0.002,-0.003,0,0.03,0.027,-0.021,0,89.48,0.07,-0.09,0,0.019,0.006,-0.0072,0,Mass,0.332,0.007,-0.007,0,0.62,0.2,-0.25,0,1,1,0,1,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,,,,13.914,,0,0,Kepler-band,6174,83,-117,0,0,1.17,0.04,-0.04,0,0,1.3,0.03,-0.03,0,0,2016-03-10
Kepler-79,d,Transit,4,52.0902,0.0009,-0.001,0,0.287,0.004,-0.004,0,0.025,0.059,-0.023,0,89.93,0.07,-0.03,0,0.019,0.0066,-0.005,0,Mass,0.639,0.012,-0.014,0,0.09,0.03,-0.02,0,1,1,0,1,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,,,,13.914,,0,0,Kepler-band,6174,83,-117,0,0,1.17,0.04,-0.04,0,0,1.3,0.03,-0.03,0,0,2016-03-10
Kepler-80,b,Transit,5,7.05246,0.0002,-0.00022,0,0.0648,0.0009,-0.0009,0,,,,,89.34,0.46,-0.62,0,0.0218,0.0033,-0.0022,0,Mass,0.238,0.009,-0.009,0,1.38,0.24,-0.17,0,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,357,,,0,14.804,,0,0,Kepler-band,4540,100,-100,0,0,0.73,0.03,-0.03,0,0,0.68,0.02,-0.02,0,0,2016-08-04
Kepler-80,c,Transit,5,9.52355,0.00041,-0.00029,0,0.0792,0.0011,-0.0011,0,,,,,89.33,0.47,-0.57,0,0.02121,0.00387,-0.00271,0,Mass,0.244,0.011,-0.009,0,1.22,0.23,-0.18,0,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,357,,,0,14.804,,0,0,Kepler-band,4540,100,-100,0,0,0.73,0.03,-0.03,0,0,0.68,0.02,-0.02,0,0,2016-08-04
Kepler-80,d,Transit,5,3.07222,0.00006,-0.00004,0,0.0372,0.0005,-0.0005,0,,,,,88.35,1.12,-1.51,0,0.02124,0.00217,-0.0016,0,Mass,0.136,0.008,-0.006,0,7.04,1.06,-1.06,0,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,357,,,0,14.804,,0,0,Kepler-band,4540,100,-100,0,0,0.73,0.03,-0.03,0,0,0.68,0.02,-0.02,0,0,2016-08-04
Kepler-80,e,Transit,5,4.64489,0.0002,-0.00019,0,0.0491,0.0007,-0.0007,0,,,,,88.79,0.84,-1.07,0,0.01299,0.00255,-0.00299,0,Mass,0.143,0.007,-0.006,0,3.75,0.89,-0.97,0,1,1,0,1,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,357,,,0,14.804,,0,0,Kepler-band,4540,100,-100,0,0,0.73,0.03,-0.03,0,0,0.68,0.02,-0.02,0,0,2016-08-04
Kepler-87,c,Transit,2,191.2318,0.0015,-0.0015,0,0.676,0.037,-0.04,0,0.039,0.012,-0.012,0,89.588,0.031,-0.027,0,0.02,0.003,-0.003,0,Mass,0.548,0.026,-0.026,0,0.152,0.019,-0.019,0,0,1,0,1,19h51m40.05s,297.916877,+46d57m54.5s,46.96513,,,,,14.6,,0,0,Kepler-band,5600,50,-50,0,0,1.1,0.05,-0.05,0,0,1.82,0.04,-0.04,0,0,2014-05-14
Kepler-96,b,Transit,1,16.2385,,,0,,,,,,,,,,,,,0.027,0.011,-0.011,0,Mass,0.238,0.02,-0.02,0,2.26,1.11,-1.11,0,0,1,0,1,19h48m16.71s,297.069643,+40d31m30.5s,40.525141,,,,,10.297,,0,0,Kepler-band,5690,73,-73,0,0,1,0.06,-0.06,0,0,1.02,0.09,-0.09,0,0,2014-05-14
Kepler-97,b,Transit,2,2.58664,,,0,,,,,,,,,,,,,0.011,0.006,-0.006,0,Mass,0.132,0.012,-0.012,0,5.44,3.48,-3.48,0,0,1,0,1,19h09m18.39s,287.326624,+48d40m24.4s,48.673431,,,,,12.872,,0,0,Kepler-band,5779,74,-74,0,0,0.94,0.06,-0.06,0,0,0.98,0.09,-0.09,0,0,2014-05-14
Kepler-98,b,Transit,1,1.54168,,,0,,,,,,,,,,,,,0.011,0.005,-0.005,0,Mass,0.178,0.02,-0.02,0,2.18,1.21,-1.21,0,0,1,0,1,19h02m38.80s,285.661662,+37d57m52.2s,37.964506,,,,,12.899,,0,0,Kepler-band,5539,73,-73,0,0,0.99,0.06,-0.06,0,0,1.11,0.12,-0.12,0,0,2014-05-14
Kepler-99,b,Transit,1,4.60358,,,0,,,,,,,,,,,,,0.019,0.004,-0.004,0,Mass,0.132,0.007,-0.007,0,10.9,2.82,-2.82,0,0,1,0,1,19h49m24.96s,297.354004,+41d18m00.2s,41.300049,,,,,12.97,,0,0,Kepler-band,4782,129,-129,0,0,0.79,0.06,-0.06,0,0,0.73,0.04,-0.04,0,0,2014-05-14
WASP-10,b,Transit,1,3.0927616,0.0000112,-0.0000112,0,0.03781,0.00067,-0.00047,0,,,,,88.49,0.22,-0.17,0,3.15,0.13,-0.11,0,Mass,1.08,0.02,-0.02,0,4.14,0.27,-0.27,0,0,0,0,0,23h15m58.30s,348.992912,+31d27m46.3s,31.462852,90,20,-20,0,12.7,,0,0,V (Johnson),4675,100,,0,,0.75,0.04,,0,,0.7,0.01,,0,,2014-05-14
WASP-14,b,Transit,1,2.243752,0.00001,-0.00001,0,0.036,0.001,-0.001,0,0.091,0.003,-0.003,0,84.32,0.67,-0.57,0,7.341,0.508,-0.496,0,Mass,1.281,0.075,-0.082,0,4.656,0.846,-0.658,0,0,0,0,1,14h33m06.35s,218.276477,+21d53m41.0s,21.894714,160,20,-20,0,9.75,,0,0,V (Johnson),6475,100,,0,,1.21,0.13,,0,,1.31,0.07,,0,,2014-05-14
WASP-47,e,Transit,4,0.789636,0.000017,-0.000017,0,0.0173,0.0038,-0.0038,0,0.03,0.036,-0.02,0,86.2,2.1,-2.1,0,0.02863,0.0173,-0.01133,0,Mass,0.162,0.036,-0.036,0,8.5,3.2,-3.2,0,0,0,1,1,22h04m48.73s,331.203047,-12d01m08.0s,-12.018885,200,30,-30,0,11.9,,0,0,V (Johnson),5576,68,-68,0,0,1.11,0.89,-0.49,0,0,1.16,0.26,-0.26,0,0,2016-12-01
